"DateTime_hr","chamber","T_treatment","HWtrt","combotrt","PPFD","Tair","Tcan","VPD","A","E","FluxCO2","FluxH2O","LeafArea","Tdiff","gs","Dleaf","Atogs","sw","sw0","Ps"
2016-10-29 18:00:00,"C11","ambient","C","ambient_C",10.7,20.8002786636353,20.6646666666667,0.465187726316479,-0.359050545454105,0.381780438433968,-0.00342564231962109,0.00364250449765732,9.54083586,-0.135611996968599,0.0863541227910033,0.444680499563416,-0.00415788538924875,0.115,0.08,0.264348987108656
2016-10-29 18:00:00,"C12","elevated","HW","elevated_HW",10.7,23.7992911338806,23.538,0.607153462957542,-0.686015121096365,0.477443098365295,-0.0186329888031701,0.0129679239311428,27.16119256,-0.261291133880601,0.0834127702213995,0.560947587131438,-0.00822434165986215,0.09,0.052,0.217593922651934
2016-10-29 18:30:00,"C01","ambient","C","ambient_C",0,20.7997455596924,20.8593333333333,0.463555915116591,-0.783537769773455,0.208827922055307,-0.0185027188987472,0.00493133131427219,23.61432928,0.0595877736408994,0.0469782375067675,0.47261403707436,-0.0166787391642903,0.098,0.074,0.162132136279926
2016-10-29 18:30:00,"C02","elevated","C","elevated_C",0,23.7321877479553,23.3586666666667,0.514200381094683,-0.745623099844754,0.243112120696826,-0.012802538631469,0.00417429706462622,17.17025483,-0.373521081288601,0.0496104719773521,0.448575107842091,-0.0150295506195777,0.109,0.085,0.208749079189687
2016-10-29 18:30:00,"C03","ambient","HW","ambient_HW",0,20.7781314849854,20.7526666666667,0.497323296059091,-1.15743317911431,0.0825779589834357,-0.0142899605334989,0.00101952820785142,12.34625099,-0.025464818318703,0.0170031679907688,0.493465672945946,-0.0680716193442714,0.079,0.061,0.134773480662983
2016-10-29 18:30:00,"C04","elevated","HW","elevated_HW",0,23.6755743026734,23.1833333333333,0.667193753835358,-1.09395546038962,0.312230335370472,-0.0259190414660739,0.00739766041896361,23.69295863,-0.492240969340099,0.0490749270277265,0.581236643923075,-0.0222915351411843,NA,0.0985,0.21798664825046
2016-10-29 18:30:00,"C05","ambient","C","ambient_C",0,20.7098021507263,21.036,0.465242320625425,-1.22378481320453,0.167657613198318,-0.0157961113443345,0.00216405555717856,12.90758896,0.326197849273701,0.037341918775084,0.514945185332934,-0.0327724137737959,0.128,0.13,0.188379834254144
2016-10-29 18:30:00,"C06","elevated","C","elevated_C",0,23.6515698432923,23.52,0.577613058489203,-0.860882054147898,0.28283232282705,-0.0254037957311144,0.00834610794897651,29.50903159,-0.131569843292301,0.0514598290124477,0.554448129944825,-0.0167292054923008,0.086,0.076,0.185277163904236
2016-10-29 18:30:00,"C07","ambient","HW","ambient_HW",0,20.6597590446472,20.789,0.447737934626574,-0.968397727920872,0.201258907186357,-0.0141392497468963,0.00293851366070929,14.6006639,0.129240955352802,0.0468514838167143,0.467273200306703,-0.0206695209848486,0.098,0.097,0.272846224677716
2016-10-29 18:30:00,"C08","elevated","C","elevated_C",0,23.6143193244934,23.1586666666667,0.514154253942618,-0.973099976489688,0.356043662034755,-0.0237494289916995,0.0086895836745801,24.40594961,-0.4556526578267,0.0738478757944763,0.434766806556705,-0.0131770882509592,0.091,0.053,0.223851749539595
2016-10-29 18:30:00,"C09","ambient","HW","ambient_HW",0,20.5970858846392,20.788,0.437810893386735,-0.959607987213917,0.129308569926873,-0.0164680832893961,0.00221909814003428,17.16126117,0.190914115360801,0.0304804570347137,0.466618831785857,-0.0314827296100263,0.104,0.086,0.252514272559853
2016-10-29 18:30:00,"C10","elevated","HW","elevated_HW",0,23.5772876739502,23.5,0.556668454070223,-0.726951714964726,0.365893710351061,-0.0123558217081449,0.00621900651193686,16.99675708,-0.0772876739501989,0.0699719100370098,0.543094534952156,-0.0103891935289493,0.068,0.05,0.297757366482505
2016-10-29 18:30:00,"C11","ambient","C","ambient_C",0,20.8564748764038,20.572,0.442369732595268,-1.0850470653301,0.355591325963938,-0.0103522559506892,0.00339263847426169,9.54083586,-0.284474876403802,0.0857302010894505,0.399393499240821,-0.0126565323718064,0.114,0.08,0.264348987108656
2016-10-29 18:30:00,"C12","elevated","HW","elevated_HW",0,23.8022541999817,23.4486666666667,0.708172578375242,-1.07726367623206,0.407903844272489,-0.0292597661480325,0.0110791548602493,27.16119256,-0.353587533315,0.0609243015569271,0.645787026565103,-0.0176820028905128,0.09,0.052,0.217593922651934
